block_path,block_type,mask_type,parameter,value,value_class
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/Compare
To Constant3/y",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/CurrentLimit_i",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/Data Type Conversion",DataTypeConversion,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/Data Type Conversion1",DataTypeConversion,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/ILi",Inport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/Logical
Operator",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/Logical
Operator1",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/Logical
Operator2",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/Logical
Operator3",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/Logical
Operator4",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/Logical
Operator5",Logic,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/NQmin_i",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/Qi",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/Ton_done_i",Outport,,SampleTime,"-1",numeric_literal
"four_phase_ideal_digital_iqcot/COT_Cell_1Phase1/Ton_iqcot1",Inport,,SampleTime,"-1",numeric_literal
