variant,event_index,time_us,REQ_phase,REQ_accept_phase
R3-E2,94,44.947000000007,1,1
R3-E2,95,45.428000000007,2,2
R3-E2,96,45.9090000000069,3,3
R3-E2,97,46.3900000000069,4,4
R3-E2,98,46.8710000000001,1,1
R3-E2,99,47.3520000000001,2,2
R3-E2,100,47.833000000007,3,3
R3-E2,101,48.314000000007,4,4
R3-E2,102,48.795000000007,1,1
R3-E2,103,49.2760000000069,2,2
R3-E2,104,49.7570000000069,3,3
R3-E2,105,50.2380000000001,4,4
R3-E2,106,50.7190000000001,1,1
R3-E2,107,51.200000000007,2,2
R3-E2,108,51.681000000007,3,3
R3-E2,109,52.162000000007,4,4
R3-E2,110,52.6430000000069,1,1
R3-E2,111,53.1240000000001,2,2
R3-E2,112,53.6050000000001,3,3
R3-E2,113,54.086000000007,4,4
R3-E2,114,54.567000000007,1,1
R3-E2,115,55.048000000007,2,2
R3-E2,116,55.529000000007,3,3
R3-E2,117,56.0100000000069,4,4
R3-E2,118,56.4910000000001,1,1
R3-E2,119,56.9720000000001,2,2
R3-E2,120,57.453000000007,3,3
R3-E2,121,57.934000000007,4,4
R3-E2,122,58.415000000007,1,1
R3-E2,123,58.8960000000069,2,2
R3-E2,124,59.3770000000069,3,3
R3-E2,125,59.8580000000001,4,4
R3-E2,126,60.3390000000001,1,1
R3-E2,127,60.820000000007,2,2
R3-E2,128,61.301000000007,3,3
R3-E2,129,61.782000000007,4,4
R3-E2,130,62.2630000000069,1,1
R3-E2,131,62.7440000000069,2,2
R3-E2,132,63.2250000000001,3,3
R3-E2,133,63.7060000000001,4,4
R3-E2,134,64.187000000007,1,1
R3-E2,135,64.668000000007,2,2
R3-E2,136,65.149000000007,3,3
R3-E2,137,65.6300000000069,4,4
R3-E2,138,66.1110000000069,1,1
R3-E2,139,66.5920000000001,2,2
R3-E2,140,67.0730000000001,3,3
R3-E2,141,67.554000000007,4,4
R3-E2,142,68.035000000007,1,1
R3-E2,143,68.516000000007,2,2
R3-E2,144,68.9970000000069,3,3
R3-E2,145,69.4780000000001,4,4
R3-E2,146,69.9590000000001,1,1
R3-E2,147,70.440000000007,2,2
R3-E2,148,70.921000000007,3,3
R3-E2,149,71.402000000007,4,4
R3-E2,150,71.883000000007,1,1
R3-E2,151,72.3640000000069,2,2
R3-E2,152,72.8450000000001,3,3
R3-E2,153,73.3260000000001,4,4
