event_index,event_time,phase_idx,A_before_tr,Lambda_i,A_minus_Lambda,h_mean_since_last_event,period
120.0,6.284e-05,2.0,3.19574014391922e-10,3e-10,1.957401439192202e-11,0.0009264036446473738,5.200000000000018e-07
121.0,6.33220000000009e-05,3.0,3.12689327715941e-10,3e-10,1.2689327715941018e-11,0.001020861626232915,4.820000000008943e-07
122.0,6.38040000000009e-05,0.0,3.37838918325167e-10,3e-10,3.783891832516698e-11,0.001071061827876421,4.819999999999998e-07
123.0,6.432e-05,1.0,3.1277659039991e-10,3e-10,1.2776590399910021e-11,0.0009125985035710877,5.159999999990986e-07
124.0,6.488e-05,2.0,3.39676229973099e-10,3e-10,3.967622997309902e-11,0.0008906504338214597,5.600000000000082e-07
125.0,6.53620000000009e-05,3.0,4.18995269099522e-10,3e-10,1.18995269099522e-10,0.001259173688073973,4.820000000008943e-07
126.0,6.58440000000009e-05,0.0,4.64307961259822e-10,3e-10,1.64307961259822e-10,0.001341009859193335,4.819999999999998e-07
127.0,6.63260000000009e-05,1.0,4.28848622413659e-10,3e-10,1.2884862241365898e-10,0.0012674612069872788,4.819999999999998e-07
128.0,6.68080000000009e-05,2.0,3.73472847118157e-10,3e-10,7.347284711815701e-11,0.0011681860606415255,4.819999999999998e-07
129.0,6.72900000000009e-05,3.0,3.45122322683654e-10,3e-10,4.5122322683654e-11,0.0010934495025046093,4.819999999999998e-07
130.0,6.77720000000009e-05,0.0,3.47015341289912e-10,3e-10,4.7015341289911995e-11,0.0010992764235462328,4.819999999999998e-07
131.0,6.828e-05,1.0,3.11604041229462e-10,3e-10,1.1604041229462012e-11,0.0009445751028252799,5.079999999991081e-07
132.0,6.888e-05,2.0,3.32664365682513e-10,3e-10,3.2664365682513004e-11,0.0008007717708601439,6.00000000000001e-07
133.0,6.93620000000009e-05,3.0,4.49616242187025e-10,3e-10,1.49616242187025e-10,0.0013307626003127861,4.820000000008943e-07
134.0,6.98440000000009e-05,0.0,4.9689519902592e-10,3e-10,1.9689519902592e-10,0.0014068398201557881,4.819999999999998e-07
135.0,7.03260000000009e-05,1.0,4.78273759506529e-10,3e-10,1.78273759506529e-10,0.0013869064365712553,4.819999999999998e-07
136.0,7.08080000000009e-05,2.0,4.38181481444201e-10,3e-10,1.38181481444201e-10,0.0013142507864239033,4.819999999999998e-07
137.0,7.12900000000009e-05,3.0,4.04949514072488e-10,3e-10,1.0494951407248801e-10,0.0012153741020845556,4.819999999999998e-07
138.0,7.17720000000009e-05,0.0,4.0835851694025e-10,3e-10,1.0835851694025002e-10,0.0012348722857224493,4.819999999999998e-07
139.0,7.22540000000009e-05,1.0,3.53369636996471e-10,3e-10,5.3369636996471e-11,0.0011391479109311004,4.819999999999998e-07
140.0,7.276e-05,2.0,3.12871282876438e-10,3e-10,1.287128287643801e-11,0.0009328563973017191,5.059999999991037e-07
141.0,7.336e-05,3.0,3.44157554112696e-10,3e-10,4.415755411269602e-11,0.0008103285321475194,6.00000000000001e-07
142.0,7.38420000000009e-05,0.0,4.85001466764396e-10,3e-10,1.85001466764396e-10,0.0013967413434768385,4.820000000008943e-07
143.0,7.43240000000009e-05,1.0,4.80982709612593e-10,3e-10,1.8098270961259296e-10,0.0013930601852606196,4.819999999999998e-07
144.0,7.48060000000009e-05,2.0,4.57598044821244e-10,3e-10,1.5759804482124403e-10,0.0013356767328568048,4.819999999999998e-07
145.0,7.52880000000009e-05,3.0,4.34039988215474e-10,3e-10,1.3403998821547399e-10,0.001305969948848936,4.819999999999998e-07
146.0,7.57700000000009e-05,0.0,4.24672369933032e-10,3e-10,1.2467236993303198e-10,0.0012769295911402895,4.819999999999998e-07
147.0,7.62520000000009e-05,1.0,3.82517321856731e-10,3e-10,8.251732185673101e-11,0.001171573178203669,4.819999999999998e-07
148.0,7.67340000000009e-05,2.0,3.23350709720456e-10,3e-10,2.3350709720456003e-11,0.001054008986076627,4.819999999999998e-07
149.0,7.728e-05,3.0,3.36289922902441e-10,3e-10,3.6289922902441e-11,0.0009055414884661238,5.459999999991101e-07
150.0,7.77620000000009e-05,0.0,3.1946349388908e-10,3e-10,1.9463493889080008e-11,0.001026223878204396,4.820000000008943e-07
151.0,7.828e-05,1.0,3.22280006403239e-10,3e-10,2.2280006403238984e-11,0.0009272723813742745,5.179999999991029e-07
152.0,7.87620000000009e-05,2.0,3.03768760099989e-10,3e-10,3.7687600999890094e-12,0.0010157671834497924,4.820000000008943e-07
153.0,7.928e-05,3.0,3.09504289516382e-10,3e-10,9.50428951638198e-12,0.0009101782549546598,5.179999999991029e-07
154.0,7.97620000000009e-05,0.0,3.13461673409537e-10,3e-10,1.3461673409537019e-11,0.0010082591933093864,4.820000000008943e-07
155.0,8.028e-05,1.0,3.23815648705725e-10,3e-10,2.3815648705725008e-11,0.0009378982699282389,5.179999999991029e-07
156.0,8.08e-05,2.0,3.13587244805186e-10,3e-10,1.3587244805186023e-11,0.000937056729199141,5.200000000000018e-07
157.0,8.12820000000009e-05,3.0,3.25765984672386e-10,3e-10,2.5765984672386027e-11,0.001034627142197046,4.820000000009078e-07
158.0,8.17640000000009e-05,0.0,3.02202503306001e-10,3e-10,2.2025033060009985e-12,0.0009750283985104373,4.819999999999998e-07
159.0,8.232e-05,1.0,3.41841944658645e-10,3e-10,4.184194465864501e-11,0.0009101264606726608,5.559999999990914e-07
160.0,8.3284e-05,3.0,3.04129697355025e-10,3e-10,4.129697355024978e-12,0.0010170160541986529,9.639999999999996e-07
161.0,8.38e-05,0.0,3.10377219909867e-10,3e-10,1.037721990986698e-11,0.0009170899663801243,5.160000000000066e-07
162.0,8.42820000000009e-05,1.0,3.19853473902227e-10,3e-10,1.985347390222701e-11,0.0010381190538517524,4.820000000008943e-07
163.0,8.484e-05,2.0,3.26150542222253e-10,3e-10,2.615054222225301e-11,0.0008459595355274558,5.579999999990958e-07
164.0,8.53220000000009e-05,3.0,3.78184747249198e-10,3e-10,7.8184747249198e-11,0.0011523166428667885,4.820000000009078e-07
165.0,8.58040000000009e-05,0.0,3.76821711225393e-10,3e-10,7.682171122539298e-11,0.001170526315706435,4.819999999999998e-07
166.0,8.62860000000009e-05,1.0,3.83853474394037e-10,3e-10,8.3853474394037e-11,0.001165902240070617,4.819999999999998e-07
167.0,8.67680000000009e-05,2.0,3.18789033606306e-10,3e-10,1.8789033606306016e-11,0.0010266576819886236,4.819999999999998e-07
168.0,8.728e-05,3.0,3.07560647652543e-10,3e-10,7.560647652543026e-12,0.0009245049178213146,5.119999999991033e-07
169.0,8.78e-05,0.0,3.12174071050326e-10,3e-10,1.2174071050325978e-11,0.0009200619440766692,5.200000000000018e-07
170.0,8.88e-05,2.0,3.32250995285318e-10,3e-10,3.225099528531802e-11,0.0010130521235006806,9.999999999999972e-07
171.0,8.92820000000009e-05,3.0,3.2508814937604e-10,3e-10,2.5088149376040027e-11,0.0010640385907443898,4.820000000008943e-07
172.0,8.97640000000009e-05,0.0,3.06397442357685e-10,3e-10,6.397442357685003e-12,0.000988723227985904,4.819999999999998e-07
173.0,9.028e-05,1.0,3.33118019090628e-10,3e-10,3.311801909062799e-11,0.0009459849407936258,5.159999999990986e-07
174.0,9.084e-05,2.0,3.39004105165041e-10,3e-10,3.9004105165040994e-11,0.0008941168401022527,5.600000000000082e-07
175.0,9.13220000000009e-05,3.0,4.28178825678217e-10,3e-10,1.2817882567821702e-10,0.0012846169245063442,4.820000000008943e-07
176.0,9.18040000000009e-05,0.0,4.34771070566944e-10,3e-10,1.34771070566944e-10,0.0012673968790497252,4.819999999999998e-07
177.0,9.22860000000009e-05,1.0,4.43605189407623e-10,3e-10,1.43605189407623e-10,0.0012996472441860827,4.819999999999998e-07
178.0,9.27680000000009e-05,2.0,3.71290072109415e-10,3e-10,7.129007210941501e-11,0.0011685951560126986,4.819999999999998e-07
179.0,9.32500000000009e-05,3.0,3.51654282908617e-10,3e-10,5.165428290861701e-11,0.0011029694453462682,4.819999999999998e-07
180.0,9.37320000000009e-05,0.0,3.19126155085201e-10,3e-10,1.9126155085201e-11,0.0010341706954246706,4.819999999999998e-07
181.0,9.424e-05,1.0,3.24124616114862e-10,3e-10,2.4124616114861982e-11,0.00096963222352156,5.079999999991081e-07
182.0,9.484e-05,2.0,3.28074757419029e-10,3e-10,2.807475741902898e-11,0.0007925794285976299,6.00000000000001e-07
183.0,9.53220000000009e-05,3.0,4.53666042574094e-10,3e-10,1.5366604257409398e-10,0.0013189637471676234,4.820000000008943e-07
184.0,9.58040000000009e-05,0.0,4.70619973368407e-10,3e-10,1.70619973368407e-10,0.0013574698278022727,4.819999999999998e-07
185.0,9.62860000000009e-05,1.0,4.86742490704626e-10,3e-10,1.86742490704626e-10,0.0014038593271974418,4.819999999999998e-07
186.0,9.67680000000009e-05,2.0,4.33400262205582e-10,3e-10,1.3340026220558202e-10,0.0012866971494734601,4.819999999999998e-07
187.0,9.72500000000009e-05,3.0,4.07027662436584e-10,3e-10,1.0702766243658401e-10,0.0012243497952626576,4.819999999999998e-07
188.0,9.77320000000009e-05,0.0,3.83486661971651e-10,3e-10,8.348666197165101e-11,0.0011941621639381887,4.819999999999998e-07
189.0,9.82140000000009e-05,1.0,3.59410418075516e-10,3e-10,5.941041807551598e-11,0.0011334793167651065,4.819999999999998e-07
190.0,9.872e-05,2.0,3.06617210151133e-10,3e-10,6.6172101511329845e-12,0.0009393939499993532,5.059999999991037e-07
191.0,9.932e-05,3.0,3.44554518171449e-10,3e-10,4.4554518171449e-11,0.0008240160067214095,6.00000000000001e-07
192.0,9.98020000000009e-05,0.0,4.61534212967124e-10,3e-10,1.61534212967124e-10,0.0013621978301680525,4.820000000008943e-07
193.0,0.000100284000000001,1.0,4.84783561075872e-10,3e-10,1.8478356107587204e-10,0.0013871234169624174,4.820000000000947e-07
194.0,0.000100766000000001,2.0,4.51049491203935e-10,3e-10,1.5104949120393498e-10,0.0013201917041097712,4.819999999999998e-07
195.0,0.000101248000000001,3.0,4.32904794227346e-10,3e-10,1.3290479422734598e-10,0.0012996767242201561,4.820000000000133e-07
196.0,0.000101730000000001,0.0,4.02451051619905e-10,3e-10,1.0245105161990498e-10,0.001221379833699594,4.819999999999998e-07
197.0,0.000102212000000001,1.0,3.84564117976863e-10,3e-10,8.456411797686301e-11,0.0011702939150188098,4.819999999999998e-07
198.0,0.000102694000000001,2.0,3.1621503549544e-10,3e-10,1.6215035495440015e-11,0.0010519937714674069,4.819999999999998e-07
199.0,0.00010324,3.0,3.33543031565148e-10,3e-10,3.354303156514801e-11,0.0009013736046008973,5.459999999989882e-07
