"variant","event_index","time_us","REQ_phase","REQ_accept_phase","phase_idx","REQ_reject_reason","model_phase_order_error_sample","active_HS_phase"
"A5-T3","71","43.4400000000001","1","1","0","0","0","0"
"A5-T3","72","44.0800000000001","2","2","1","0","0","0"
"A5-T3","73","44.562000000007","3","3","2","0","0","0"
"A5-T3","74","45.2800000000001","4","4","3","0","1","0"
"A5-T3","75","45.8","1","1","0","0","0","0"
"A5-T3","76","46.44","2","2","1","0","0","0"
"A5-T3","77","46.922000000007","3","3","2","0","0","0"
"A5-T3","78","47.6400000000001","4","4","3","0","1","0"
"A5-T3","79","48.16","1","1","0","0","0","0"
"A5-T3","80","48.8","2","2","1","0","0","0"
"A5-T3","81","49.2820000000069","3","3","2","0","0","0"
"A5-T3","82","50","4","4","3","0","1","0"
"A5-T3","83","50.5600000000001","1","1","0","0","0","0"
"A5-T3","84","51.1200000000001","2","2","1","0","0","0"
"A5-T3","85","51.68","3","3","2","0","0","0"
"A5-T3","86","52.32","4","4","3","0","0","0"
"A5-T3","87","52.96","1","1","0","0","0","0"
"A5-T3","88","53.4420000000069","2","2","1","0","0","0"
"A5-T3","89","54.0800000000001","3","3","2","0","1","0"
"A5-T3","90","54.6","4","4","3","0","0","0"
"A5-T3","91","55.44","1","1","0","0","0","0"
"A5-T3","92","55.922000000007","2","2","1","0","0","0"
"A5-T3","93","56.404000000007","3","3","2","0","0","0"
"A5-T3","94","56.886000000007","4","4","3","0","0","0"
"A5-T3","95","57.76","1","1","0","0","1","0"
"A5-T3","96","58.242000000007","2","2","1","0","0","0"
"A5-T3","97","58.724000000007","3","3","2","0","0","0"
"A5-T3","98","59.3600000000001","4","4","3","0","1","0"
"A5-T3","99","60","1","1","0","0","0","0"
"A5-T3","100","60.6000000000001","2","2","1","0","0","0"
"A5-T3","101","61.082000000007","3","3","2","0","0","0"
"A5-T3","102","61.8000000000001","4","4","3","0","1","0"
"A5-T3","103","62.32","1","1","0","0","0","0"
"A5-T3","104","63.04","2","2","1","0","0","0"
"A5-T3","105","63.5220000000069","3","3","2","0","0","0"
"A5-T3","106","64.0040000000069","4","4","3","0","0","0"
"A5-T3","107","64.84","1","1","0","0","1","0"
"A5-T3","108","65.322000000007","2","2","1","0","0","0"
"A5-T3","109","65.804000000007","3","3","2","0","0","0"
"A5-T3","110","66.4800000000001","4","4","3","0","1","0"
"A5-T3","111","67.0400000000001","1","1","0","0","0","0"
"A5-T3","112","67.76","2","2","1","0","0","0"
"A5-T3","113","68.242000000007","3","3","2","0","0","0"
"A5-T3","114","68.724000000007","4","4","3","0","0","0"
"A5-T3","115","69.5600000000001","1","1","0","0","1","0"
"A5-T3","116","70.0420000000001","2","2","1","0","0","0"
"A5-T3","117","70.5240000000001","3","3","2","0","0","0"
