target_load_A,target_label,objective,ref_slew_us,interp_score,interp_undershoot_mV,interp_settle_time_us,interp_phase_spacing_std_ns,interp_skip_count_est
20.0,20A,score_settle005,43.0,3.094545134709149,1.188616954671496,0.938000000000024,41.28330358385858,0.3
20.0,20A,score_settle010,43.0,3.1414451347091488,1.188616954671496,0.938000000000024,41.28330358385858,0.3
20.0,20A,base,44.0,3.230221491635522,1.185022230361188,0.938000000000024,40.599088586519244,0.4
20.0,20A,score_settle005,44.0,3.277121491635522,1.185022230361188,0.938000000000024,40.599088586519244,0.4
20.0,20A,score_settle010,44.0,3.3240214916355217,1.185022230361188,0.938000000000024,40.599088586519244,0.4
20.0,20A,base,45.0,3.412797848561895,1.18142750605088,0.938000000000024,39.914873589179905,0.5
20.0,20A,score_settle005,45.0,3.4596978485618948,1.18142750605088,0.938000000000024,39.914873589179905,0.5
20.0,20A,score_settle010,45.0,3.5065978485618947,1.18142750605088,0.938000000000024,39.914873589179905,0.5
20.0,20A,base,46.0,3.595374205488268,1.177832781740572,0.938000000000024,39.230658591840566,0.6
20.0,20A,score_settle005,46.0,3.6422742054882677,1.177832781740572,0.938000000000024,39.230658591840566,0.6
20.0,20A,score_settle010,46.0,3.6891742054882677,1.177832781740572,0.938000000000024,39.230658591840566,0.6
20.0,20A,base,47.0,3.777950562414641,1.174238057430264,0.9380000000000241,38.54644359450123,0.7
20.0,20A,score_settle005,47.0,3.8248505624146407,1.174238057430264,0.9380000000000241,38.54644359450123,0.7
20.0,20A,score_settle010,47.0,3.8717505624146407,1.174238057430264,0.9380000000000241,38.54644359450123,0.7
20.0,20A,base,48.0,3.9605269193410138,1.1706433331199562,0.938000000000024,37.86222859716188,0.8
20.0,20A,score_settle005,48.0,4.007426919341014,1.1706433331199562,0.938000000000024,37.86222859716188,0.8
20.0,20A,score_settle010,48.0,4.054326919341014,1.1706433331199562,0.938000000000024,37.86222859716188,0.8
20.0,20A,base,49.0,4.143103276267387,1.1670486088096481,0.9380000000000239,37.17801359982255,0.9
20.0,20A,score_settle005,49.0,4.190003276267387,1.1670486088096481,0.9380000000000239,37.17801359982255,0.9
20.0,20A,score_settle010,49.0,4.236903276267387,1.1670486088096481,0.9380000000000239,37.17801359982255,0.9
20.0,20A,base,50.0,4.32567963319376,1.16345388449934,0.938000000000024,36.4937986024832,1.0
20.0,20A,score_settle005,50.0,4.37257963319376,1.16345388449934,0.938000000000024,36.4937986024832,1.0
20.0,20A,score_settle010,50.0,4.41947963319376,1.16345388449934,0.938000000000024,36.4937986024832,1.0
20.0,20A,base,51.0,4.323269097922788,1.1596908150634821,1.8504000000000216,36.53569116031414,1.0
20.0,20A,score_settle005,51.0,4.415789097922787,1.1596908150634821,1.8504000000000216,36.53569116031414,1.0
20.0,20A,score_settle010,51.0,4.508309097922788,1.1596908150634821,1.8504000000000216,36.53569116031414,1.0
20.0,20A,base,52.0,4.320858562651816,1.1559277456276242,2.762800000000019,36.577583718145064,1.0
20.0,20A,score_settle005,52.0,4.458998562651816,1.1559277456276242,2.762800000000019,36.577583718145064,1.0
20.0,20A,score_settle010,52.0,4.597138562651816,1.1559277456276242,2.762800000000019,36.577583718145064,1.0
20.0,20A,base,53.0,4.318448027380843,1.152164676191766,3.6752000000000167,36.61947627597599,1.0
20.0,20A,score_settle005,53.0,4.502208027380844,1.152164676191766,3.6752000000000167,36.61947627597599,1.0
20.0,20A,score_settle010,53.0,4.685968027380843,1.152164676191766,3.6752000000000167,36.61947627597599,1.0
20.0,20A,base,54.0,4.316037492109872,1.148401606755908,4.587600000000014,36.661368833806925,1.0
20.0,20A,score_settle005,54.0,4.545417492109872,1.148401606755908,4.587600000000014,36.661368833806925,1.0
20.0,20A,score_settle010,54.0,4.7747974921098715,1.148401606755908,4.587600000000014,36.661368833806925,1.0
20.0,20A,base,55.0,4.3136269568389,1.14463853732005,5.5000000000000115,36.70326139163785,1.0
20.0,20A,score_settle005,55.0,4.588626956838899,1.14463853732005,5.5000000000000115,36.70326139163785,1.0
20.0,20A,score_settle010,55.0,4.8636269568389,1.14463853732005,5.5000000000000115,36.70326139163785,1.0
20.0,20A,base,56.0,4.311216421567927,1.1408754678841921,6.412400000000009,36.745153949468786,1.0
20.0,20A,score_settle005,56.0,4.631836421567928,1.1408754678841921,6.412400000000009,36.745153949468786,1.0
20.0,20A,score_settle010,56.0,4.952456421567928,1.1408754678841921,6.412400000000009,36.745153949468786,1.0
20.0,20A,base,57.0,4.308805886296956,1.137112398448334,7.324800000000007,36.78704650729971,1.0
20.0,20A,score_settle005,57.0,4.675045886296956,1.137112398448334,7.324800000000007,36.78704650729971,1.0
20.0,20A,score_settle010,57.0,5.041285886296956,1.137112398448334,7.324800000000007,36.78704650729971,1.0
20.0,20A,base,58.0,4.306395351025984,1.133349329012476,8.237200000000005,36.82893906513064,1.0
20.0,20A,score_settle005,58.0,4.718255351025984,1.133349329012476,8.237200000000005,36.82893906513064,1.0
20.0,20A,score_settle010,58.0,5.130115351025983,1.133349329012476,8.237200000000005,36.82893906513064,1.0
20.0,20A,base,59.0,4.303984815755012,1.129586259576618,9.149600000000001,36.87083162296157,1.0
20.0,20A,score_settle005,59.0,4.761464815755012,1.129586259576618,9.149600000000001,36.87083162296157,1.0
20.0,20A,score_settle010,59.0,5.2189448157550125,1.129586259576618,9.149600000000001,36.87083162296157,1.0
20.0,20A,base,60.0,4.30157428048404,1.12582319014076,10.062,36.9127241807925,1.0
20.0,20A,score_settle005,60.0,4.80467428048404,1.12582319014076,10.062,36.9127241807925,1.0
20.0,20A,score_settle010,60.0,5.30777428048404,1.12582319014076,10.062,36.9127241807925,1.0
20.0,20A,base,61.0,4.200131128045078,1.124250020716342,10.279399999999999,36.92408907823015,0.95
20.0,20A,score_settle005,61.0,4.714101128045079,1.124250020716342,10.279399999999999,36.92408907823015,0.95
