case,r_scale,trim_limit_ns,full_required_trim_ns,full_required_trim_pkpk_ns,applied_trim_ns,applied_trim_pkpk_ns,dc_vout_V,dc_current_A,no_trim_current_pkpk_A,trimmed_current_pkpk_A,current_pkpk_reduction_pct,nominal_event_phase_wait_pkpk_ns_cost,nominal_event_wait_rms_ns_cost,cost_per_reduction_ns_per_pct
monotonic_pm15%,0.85 0.95 1.05 1.15,1.0,-0.375 -0.125 0.125 0.375,0.7499999999999997,-0.375 -0.125 0.125 0.375,0.7499999999999997,1.0,10 10 10 10,3.0303797468353935,2.0250467969162855e-13,99.99999999999332,326.1299437392228,127.16116473153913,3.261299437392446
alternating_pm15%,0.85 1.15 0.85 1.15,0.0,-0.375 0.375 -0.375 0.375,0.7499999999999997,0 0 0 0,0.0,1.0003375,11.5 8.5 11.5 8.5,2.999999999999959,2.999999999999959,0.0,0.0,0.0,
alternating_pm15%,0.85 1.15 0.85 1.15,0.05,-0.375 0.375 -0.375 0.375,0.7499999999999997,-0.05 0.05 -0.05 0.05,0.1,1.0002925,11.3 8.7 11.3 8.7,2.999999999999959,2.600000000000019,13.33333333333151,38.837975337879385,19.556060319484928,2.912848150341352
alternating_pm15%,0.85 1.15 0.85 1.15,0.1,-0.375 0.375 -0.375 0.375,0.7499999999999997,-0.1 0.1 -0.1 0.1,0.2,1.0002474999999997,11.1 8.9 11.1 8.9,2.999999999999959,2.2000000000001236,26.66666666666154,77.53346384193252,39.063367544388264,2.9075048940730284
alternating_pm15%,0.85 1.15 0.85 1.15,0.2,-0.375 0.375 -0.375 0.375,0.7499999999999997,-0.2 0.2 -0.2 0.2,0.4,1.0001574999999998,10.7 9.3 10.7 9.3,2.999999999999959,1.3999999999998956,53.333333333336185,154.12184087450706,77.82463388597708,2.889784516396853
alternating_pm15%,0.85 1.15 0.85 1.15,0.3,-0.375 0.375 -0.375 0.375,0.7499999999999997,-0.3 0.3 -0.3 0.3,0.6,1.0000675,10.3 9.7 10.3 9.7,2.999999999999959,0.5999999999999233,80.00000000000229,229.57858095166478,116.35471037167704,2.8697322618957277
alternating_pm15%,0.85 1.15 0.85 1.15,0.5,-0.375 0.375 -0.375 0.375,0.7499999999999997,-0.375 0.375 -0.375 0.375,0.7499999999999997,1.0,10 10 10 10,2.999999999999959,1.652011860642233e-13,99.99999999999449,285.8300083632782,145.41095491939527,2.8583000836329395
alternating_pm15%,0.85 1.15 0.85 1.15,1.0,-0.375 0.375 -0.375 0.375,0.7499999999999997,-0.375 0.375 -0.375 0.375,0.7499999999999997,1.0,10 10 10 10,2.999999999999959,1.652011860642233e-13,99.99999999999449,285.8300083632782,145.41095491939527,2.8583000836329395
one_high_pm15%,1.15 0.95 0.95 0.95,0.0,0.375 -0.125 -0.125 -0.125,0.49999999999999983,0 0 0 0,0.0,1.0001022727272728,8.636364 10.45455 10.45455 10.45455,1.8181818181817953,1.8181818181817953,0.0,0.0,0.0,
one_high_pm15%,1.15 0.95 0.95 0.95,0.05,0.375 -0.125 -0.125 -0.125,0.49999999999999983,0.075 -0.025 -0.025 -0.025,0.1,1.0000818181818183,8.909091 10.36364 10.36364 10.36364,1.8181818181817953,1.4545454545454817,19.9999999999975,42.91052594775868,18.32579176008906,2.1455262973882023
