case,rho,detection_delay_ns,sigma_area,v_min_after_mV,v_max_after_mV,v_pp_high_mV,v_mean_pre_V,v_mean_high_V,v_mean_post_V,period_mean_us,period_std_ns,pre_period_mean_us,pre_period_std_ns,high_period_mean_us,high_period_std_ns,post_period_mean_us,post_period_std_ns,duty_mean,duty_std,event_count,kp_vc,objective,unconstrained_objective,feasible
rho-0.04_kp0.24_sig0e+00,-0.04,0.0,0.0,-10.671740470980073,3.961319518331008,3.6005445787816726,1.0007811978283223,0.9917929643271725,1.0029959960451462,2.0317704918032784,42.1735654298953,2.0319310344827586,0.8275862068952509,2.0346136363636376,1.1815996301383247,2.0277391304347825,0.9578383560441539,0.08373617633012671,0.001560381302266257,393,0.24,14.401899773963349,12.256268278312476,True
rho-0.04_kp0.24_sig8e-12,-0.04,0.0,8e-12,-10.690795369067029,3.980210959905417,3.6120131816557155,1.0007719983259922,0.9917927230141351,1.0029981584725038,2.03176393442623,42.32733501460394,2.031862068965517,2.224071102980628,2.034636363636364,2.3845230997386344,2.0277681159420293,1.8816037527158074,0.0837361949120053,0.0015666141407886757,393,0.24,15.57487823173819,12.282879753029196,False
rho-0.04_kp0.32_sig0e+00,-0.04,0.0,0.0,-8.703065775288344,3.118677650154611,2.654468407699895,1.0006004469467356,0.9936046458419332,1.0019314109839044,2.030832786885246,49.13842849062715,2.0322758620689663,0.866883109654414,2.0311136363636364,0.9935224088389286,2.0297681159420295,0.9347545215426436,0.08379177752223725,0.001910871774224304,393,0.32,11.742318508596254,9.950536835350189,True
rho-0.04_kp0.32_sig8e-12,-0.04,0.0,8e-12,-8.700339385530942,3.1196371560926472,2.6899325636490223,1.0005988464618378,0.9936056124506818,1.0019301601344583,2.030832786885246,49.236281175944946,2.0322068965517244,2.4827586206914383,2.0311363636363633,2.292189396933763,2.0297681159420295,2.322822667783907,0.08379179689887845,0.0019167328772708467,393,0.32,13.004226619163484,9.948194247968,False
rho-0.02_kp0.04_sig0e+00,-0.02,0.0,0.0,-48.16717983072183,40.802052629968834,37.90625720716933,1.0011886945957282,0.9720660763373788,1.0328989798705799,2.0319213114754104,45.0985845975934,2.031103448275862,0.9946348346128718,2.068505747126437,16.71180569924054,1.9808169014084507,11.965101671294258,0.08372950539560381,0.0016396630538663786,393,0.04,87.0540905416282,64.48800088270936,False
rho-0.02_kp0.04_sig8e-12,-0.02,0.0,8e-12,-48.15071646055402,40.84597221361452,37.87406633882784,1.0011595559423625,0.9720682367094315,1.032913598421497,2.0319213114754104,45.13521076431383,2.031103448275862,2.0059364927218413,2.06848275862069,16.752328415254134,1.9807887323943674,12.119028795928577,0.08372936835302233,0.0016415565627758276,393,0.04,87.39607500705323,64.48910534599983,False
rho-0.02_kp0.08_sig0e+00,-0.02,0.0,0.0,-28.043021389470233,17.485930501760507,16.122813872162855,1.0010937149337151,0.9807565233471297,1.014545213179388,2.03458552631579,30.740198283557845,2.0313103448275864,0.9506240518662394,2.054954545454545,5.99224705710544,2.0080285714285715,3.2512477981365393,0.08361637023489547,0.001115534993063036,392,0.08,44.163708190525725,35.03739359017444,False
rho-0.02_kp0.08_sig8e-12,-0.02,0.0,8e-12,-28.069900113671608,17.487802798322072,16.153957574900456,1.0010822857664852,0.980752325271097,1.0145547984414305,2.0345789473684217,30.823889896727714,2.0312413793103454,2.1917584251133895,2.0549318181818186,6.237342555028294,2.0079428571428575,3.7028395061329213,0.08361647131653706,0.0011192752232338347,392,0.08,44.711295133048054,35.06502123300044,False
rho-0.02_kp0.12_sig0e+00,-0.02,0.0,0.0,-19.768579712459157,9.864623222886282,9.26397645965238,1.0008919363224584,0.9854403995732453,1.0082299178173413,2.0342631578947374,30.966606981108605,2.031724137931034,0.6896551724139034,2.0466363636363636,3.1413004623941445,2.0184571428571427,1.518323457782886,0.08362605582916767,0.0011233854231372663,392,0.12,28.765492797640213,23.71442900161367,True
rho-0.02_kp0.12_sig8e-12,-0.02,0.0,8e-12,-19.80005817476571,9.864237800045528,9.277768940886721,1.0008812344981195,0.9854401337939696,1.0082347393393334,2.034263157894737,31.122579559681615,2.0316551724137932,1.8246560765954305,2.0466363636363645,3.5871672103521184,2.018400000000001,2.23223142680165,0.08362601637782538,0.0011296299428182899,392,0.12,29.40472178398748,23.74575329478392,True
rho-0.02_kp0.16_sig0e+00,-0.02,0.0,0.0,-15.339654179482798,6.4804323916991535,6.171477037820394,1.0007523506176474,0.9882998654716477,1.0053506054745784,2.033488524590164,34.07841535202394,2.032,0.5252257314364829,2.0412500000000007,2.007089706739385,2.0235072463768105,1.0983939316759792,0.08365707292820435,0.001244844543558477,393,0.16,21.23777839714678,17.93182713616246,True
rho-0.02_kp0.16_sig8e-12,-0.02,0.0,8e-12,-15.331344836912454,6.44973217014666,6.190938636829069,1.0007302810342296,0.9883016955590606,1.0053528679027648,2.033481967213115,34.191464317803174,2.0319310344827586,2.3183084570954406,2.0412727272727276,2.782768702730078,2.0234782608695654,1.885172468581456,0.08365701474025372,0.001250196919252528,393,0.16,22.211311114781797,17.911237704971118,False
rho-0.02_kp0.24_sig0e+00,-0.02,0.0,0.0,-10.919014102894309,3.825507559608088,3.617508367128819,1.0005352651409494,0.9915991098099882,1.0028414413368054,2.0321311475409836,42.21081960973771,2.0324137931034483,0.8101613878905015,2.0349999999999997,1.2792042981306886,2.02808695652174,0.717061847929743,0.0837218891883579,0.0015661498154362291,393,0.24,14.607440389865534,12.449217126737544,True
rho-0.02_kp0.24_sig8e-12,-0.02,0.0,8e-12,-10.920361063683215,3.8340700389563054,3.639009377098157,1.0005279005560563,0.9915990341409923,1.0028446066657357,2.032131147540984,42.25584658735934,2.032344827586207,2.4108356266135034,2.0349999999999997,2.4494897427810045,2.028057971014493,2.0981983850236894,0.08372181506850682,0.0015710206755506237,393,0.24,15.797154624605282,12.453989079265737,False
rho-0.02_kp0.32_sig0e+00,-0.02,0.0,0.0,-8.90027849763353,3.004675695448489,2.6654541339117266,1.0004117317200525,0.9934415699586662,1.0017932812052655,2.0311409836065573,49.34917202304832,2.0326896551724145,0.9506240518647476,2.031431818181818,1.1260899219932723,2.030028985507246,0.9923039286182255,0.08378070332645496,0.0019203087346300431,393,0.32,11.964392653202859,10.102148775812925,True
rho-0.02_kp0.32_sig8e-12,-0.02,0.0,8e-12,-8.900066403204177,3.007103505785036,2.6948021205814854,1.0004053050131367,0.993440347141069,1.0017952705678221,2.0311409836065573,49.359003952302224,2.032620689655173,2.6315564177046515,2.031431818181818,2.353891625609388,2.030028985507246,2.245581907041787,0.08378061379670278,0.001923874428965126,393,0.32,13.20684075793073,10.102907805518191,False
rho+0.00_kp0.04_sig0e+00,0.0,0.0,0.0,-48.489844621582904,40.70548247720174,38.187059692197266,1.000613191711668,0.9719141789312882,1.032812564659637,2.032255737704918,45.198580148126275,2.0322758620689654,0.6896551724170812,2.0693563218390807,16.93121785918714,1.9810140845070423,11.914593912740306,0.08370186681586181,0.0016424992098785743,393,0.04,87.34930962286153,64.7720376124636,False
rho+0.00_kp0.04_sig8e-12,0.0,0.0,8e-12,-48.45691464396806,40.730064332160424,38.14303355958937,1.0005848152179546,0.9719159694122004,1.0328169088737202,2.032262295081967,45.22943392408603,2.0322068965517235,1.689303270885602,2.0693563218390807,17.09068241913034,1.9810140845070423,12.050939952524828,0.08370151199086227,0.001644183580926347,393,0.04,87.72916010922424,64.74894037683224,False
