success,source_grid,target_load_A,ref_slew_us,undershoot_mV,final_vout_error_mV,skip_count_est,settle_time_us,final_phase_spacing_std_ns,tradeoff_score,score_settle005,score_settle010,target_label,load_drop_A,load_drop_norm,objective,alpha_settle,objective_score,t_scaled,phase_std_scaled,settle_scaled,skip_risk,bias,t2,alpha_t,alpha_t2,drop_t,drop_t2,is_20A,is_10A,is_near0A,skip_t,phase_t,settle_alpha
True,fine,20.0,84,1.0943598016524,-0.437957666603372,0,14.3920000000001,45.9869637344513,2.4520567429448,3.1716567429448053,3.8912567429448104,20A,20.0,0.5,score_settle010,0.1,3.8912567429448104,0.6,0.459869637344513,0.28784000000000204,0,1.0,0.36,0.06,0.036,0.3,0.18,1.0,0.0,0.0,0.0,0.2759217824067078,0.028784000000000205
True,fine,20.0,86,1.0943598016524,-0.438140473293935,0,14.404,30.0147825435648,2.13279592581763,2.85299592581763,3.57319592581763,20A,20.0,0.5,score_settle010,0.1,3.57319592581763,0.65,0.300147825435648,0.28808,0,1.0,0.42250000000000004,0.065,0.04225000000000001,0.325,0.21125000000000002,1.0,0.0,0.0,0.0,0.1950960865331712,0.028808
True,fine,20.0,88,1.0943598016524,-0.439022954541013,1,14.398,42.4793605534499,4.38296996726241,5.10286996726241,5.82276996726241,20A,20.0,0.5,score_settle010,0.1,5.82276996726241,0.7,0.424793605534499,0.28796,1,1.0,0.48999999999999994,0.06999999999999999,0.048999999999999995,0.35,0.24499999999999997,1.0,0.0,0.0,0.7,0.2973555238741493,0.028796000000000002
True,fine,20.0,90,1.07689752922169,-0.439228751293541,0,16.512,39.3475357749328,2.30307699601388,3.1286769960138803,3.9542769960138804,20A,20.0,0.5,score_settle010,0.1,3.9542769960138804,0.75,0.393475357749328,0.33024000000000003,0,1.0,0.5625,0.07500000000000001,0.05625,0.375,0.28125,1.0,0.0,0.0,0.0,0.295106518311996,0.033024000000000005
True,fine,20.0,92,1.07689752922169,-0.440896989903794,0,16.512,43.3520285535658,2.3848350901968,3.2104350901968,4.0360350901968,20A,20.0,0.5,score_settle010,0.1,4.0360350901968,0.8,0.433520285535658,0.33024000000000003,0,1.0,0.6400000000000001,0.08000000000000002,0.06400000000000002,0.4,0.32000000000000006,1.0,0.0,0.0,0.0,0.34681622842852644,0.033024000000000005
True,dense_long,20.0,100,1.07689752922169,-0.45566298416666,0,16.556,53.2237613167088,2.59703573972252,3.42483573972252,4.25263573972252,20A,20.0,0.5,score_settle010,0.1,4.25263573972252,1.0,0.5322376131670881,0.33112,0,1.0,1.0,0.1,0.1,0.5,0.5,1.0,0.0,0.0,0.0,0.5322376131670881,0.033112
True,dense_long,20.0,120,1.05841728359568,-0.438165390661327,1,19.2260000000001,43.2618953778815,4.36182058181464,5.32312058181464,6.28442058181465,20A,20.0,0.5,score_settle010,0.1,6.28442058181465,1.5,0.432618953778815,0.38452000000000197,1,1.0,2.25,0.15000000000000002,0.225,0.75,1.125,1.0,0.0,0.0,1.5,0.6489284306682225,0.0384520000000002
True,dense_long,0.001,20,12.6631113910947,-0.583366113840356,2,22.272,122.687426191699,19.700226028769,20.813826028769,21.927426028769,near0A,39.999,0.9999750000000001,base,0.0,19.700226028769,-1.0,1.2268742619169901,0.44543999999999995,2,1.0,1.0,-0.0,0.0,-0.9999750000000001,0.9999750000000001,0.0,0.0,1.0,-2.0,-1.2268742619169901,0.0
True,dense_long,0.001,30,11.5919004786901,-0.560538190342741,2,14.796,107.601256046834,18.3044637899695,19.0442637899695,19.7840637899695,near0A,39.999,0.9999750000000001,base,0.0,18.3044637899695,-0.75,1.07601256046834,0.29591999999999996,2,1.0,0.5625,-0.0,0.0,-0.74998125,0.5624859375,0.0,0.0,1.0,-1.5,-0.807009420351255,0.0
True,fine,0.001,32,11.2555329077273,-0.546899821297075,3,19.3560000000001,86.91105946832,19.5406539183908,20.508453918390803,21.47625391839081,near0A,39.999,0.9999750000000001,base,0.0,19.5406539183908,-0.7,0.8691105946832001,0.387120000000002,3,1.0,0.48999999999999994,-0.0,0.0,-0.6999825,0.48998774999999994,0.0,0.0,1.0,-2.0999999999999996,-0.60837741627824,0.0
True,fine,0.001,34,11.1577654442028,-0.574372297952874,2,19.4220000000001,115.875422917873,18.0496462005131,19.020746200513102,19.99184620051311,near0A,39.999,0.9999750000000001,base,0.0,18.0496462005131,-0.65,1.15875422917873,0.388440000000002,2,1.0,0.42250000000000004,-0.0,0.0,-0.6499837500000001,0.42248943750000006,0.0,0.0,1.0,-1.3,-0.7531902489661746,0.0
True,fine,0.001,35,11.0926204577509,-0.557119158390962,2,19.444,103.952842906669,17.7287964742753,18.7009964742753,19.6731964742753,near0A,39.999,0.9999750000000001,base,0.0,17.7287964742753,-0.625,1.03952842906669,0.38888,2,1.0,0.390625,-0.0,0.0,-0.624984375,0.390615234375,0.0,0.0,1.0,-1.25,-0.6497052681666813,0.0
True,fine,0.001,36,11.0600579649683,-0.5650307262276,2,19.506,116.025989773311,17.9456084866622,18.9209084866622,19.8962084866622,near0A,39.999,0.9999750000000001,base,0.0,17.9456084866622,-0.6,1.16025989773311,0.39012,2,1.0,0.36,-0.0,0.0,-0.599985,0.359991,0.0,0.0,1.0,-1.2,-0.696155938639866,0.0
True,fine,0.001,38,10.9624104996224,-0.553701959433051,2,21.702,93.1497017462465,17.3791064939804,18.464206493980402,19.549306493980403,near0A,39.999,0.9999750000000001,base,0.0,17.3791064939804,-0.55,0.931497017462465,0.43404000000000004,2,1.0,0.30250000000000005,-0.0,0.0,-0.5499862500000001,0.30249243750000004,0.0,0.0,1.0,-1.1,-0.5123233596043558,0.0
True,dense_long,0.001,40,10.8973455449204,-0.569288775414734,2,21.8220000000001,110.846160114824,17.6835575226316,18.7746575226316,19.8657575226316,near0A,39.999,0.9999750000000001,base,0.0,17.6835575226316,-0.5,1.10846160114824,0.436440000000002,2,1.0,0.25,-0.0,0.0,-0.49998750000000003,0.24999375000000001,0.0,0.0,1.0,-1.0,-0.55423080057412,0.0
True,dense_long,0.001,50,10.5724213755286,-0.576715565457575,2,27.03,107.871170356059,17.3065603481074,18.6580603481074,20.0095603481074,near0A,39.999,0.9999750000000001,base,0.0,17.3065603481074,-0.25,1.07871170356059,0.5406,2,1.0,0.0625,-0.0,0.0,-0.24999375000000001,0.062498437500000004,0.0,0.0,1.0,-0.5,-0.2696779258901475,0.0
True,dense_long,0.001,60,10.4520288239951,-0.543378455996946,2,35.33,90.2632695423331,16.8006726708387,18.5671726708387,20.3336726708387,near0A,39.999,0.9999750000000001,base,0.0,16.8006726708387,0.0,0.902632695423331,0.7066,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
True,fine,0.001,62,10.3453721452725,-0.566089238299483,2,35.97,115.15068669718,17.2144751175156,19.0129751175156,20.811475117515602,near0A,39.999,0.9999750000000001,base,0.0,17.2144751175156,0.05,1.1515068669718,0.7193999999999999,2,1.0,0.0025000000000000005,0.0,0.0,0.04999875000000001,0.0024999375000000004,0.0,0.0,1.0,0.1,0.057575343348590005,0.0
True,fine,0.001,64,10.3129633029257,-0.542449807329426,2,38.378,99.3214859724614,16.8418428297044,18.7607428297044,20.679642829704402,near0A,39.999,0.9999750000000001,base,0.0,16.8418428297044,0.1,0.993214859724614,0.76756,2,1.0,0.010000000000000002,0.0,0.0,0.09999750000000002,0.009999750000000002,0.0,0.0,1.0,0.2,0.0993214859724614,0.0
True,fine,0.001,66,10.3129633029257,-0.550095633135461,2,38.3660000000001,102.486300050697,16.9127849370751,18.831084937075104,20.74938493707511,near0A,39.999,0.9999750000000001,base,0.0,16.9127849370751,0.15,1.0248630005069699,0.767320000000002,2,1.0,0.0225,0.0,0.0,0.14999625,0.0224994375,0.0,0.0,1.0,0.3,0.15372945007604547,0.0
True,fine,0.001,68,10.2805661426195,-0.549276783824104,2,40.678,91.2429324770844,16.6547015759853,18.6886015759853,20.722501575985298,near0A,39.999,0.9999750000000001,base,0.0,16.6547015759853,0.2,0.9124293247708439,0.81356,2,1.0,0.04000000000000001,0.0,0.0,0.19999500000000003,0.03999900000000001,0.0,0.0,1.0,0.4,0.1824858649541688,0.0
True,fine,0.001,70,10.2481706889723,-0.547814160580695,3,40.7680000000001,96.0048925522683,18.7160827005984,20.754482700598405,22.79288270059841,near0A,39.999,0.9999750000000001,base,0.0,18.7160827005984,0.25,0.9600489255226831,0.815360000000002,3,1.0,0.0625,0.0,0.0,0.24999375000000001,0.062498437500000004,0.0,0.0,1.0,0.75,0.24001223138067077,0.0
True,dense_long,0.001,80,10.1510195226028,-0.584402077264512,2,47.812,123.524411768886,17.205909835245,19.596509835245,21.987109835245,near0A,39.999,0.9999750000000001,base,0.0,17.205909835245,0.5,1.23524411768886,0.95624,2,1.0,0.25,0.0,0.0,0.49998750000000003,0.24999375000000001,0.0,0.0,1.0,1.0,0.61762205884443,0.0
True,fine,0.001,84,10.1186508602842,-0.568812854722989,2,50.1540000000001,120.725960653766,17.1019829280825,19.609682928082506,22.11738292808251,near0A,39.999,0.9999750000000001,base,0.0,17.1019829280825,0.6,1.20725960653766,1.003080000000002,2,1.0,0.36,0.0,0.0,0.599985,0.359991,0.0,0.0,1.0,1.2,0.7243557639225959,0.0
True,fine,0.001,86,10.0862888988401,-0.559249291776198,2,50.2240000000001,106.937038966222,16.7842789699408,19.295478969940806,21.806678969940812,near0A,39.999,0.9999750000000001,base,0.0,16.7842789699408,0.65,1.06937038966222,1.004480000000002,2,1.0,0.42250000000000004,0.0,0.0,0.6499837500000001,0.42248943750000006,0.0,0.0,1.0,1.3,0.695090753280443,0.0
True,fine,0.001,88,10.0862888988401,-0.565023933900011,2,52.528,105.64367783638,16.7641863894677,19.3905863894677,22.0169863894677,near0A,39.999,0.9999750000000001,base,0.0,16.7641863894677,0.7,1.0564367783638,1.05056,2,1.0,0.48999999999999994,0.0,0.0,0.6999825,0.48998774999999994,0.0,0.0,1.0,1.4,0.7395057448546599,0.0
True,fine,0.001,90,10.0539336391869,-0.562888266945949,2,52.576,115.36871063528,16.9241961188385,19.5529961188385,22.1817961188385,near0A,39.999,0.9999750000000001,base,0.0,16.9241961188385,0.75,1.1536871063528,1.05152,2,1.0,0.5625,0.0,0.0,0.74998125,0.5624859375,0.0,0.0,1.0,1.5,0.8652653297646,0.0
True,fine,0.001,92,10.0539336391869,-0.555400104908066,2,53.058,98.5680813793168,16.5806953716813,19.2335953716813,21.886495371681303,near0A,39.999,0.9999750000000001,base,0.0,16.5806953716813,0.8,0.985680813793168,1.06116,2,1.0,0.6400000000000001,0.0,0.0,0.7999800000000001,0.6399840000000001,0.0,0.0,1.0,1.6,0.7885446510345344,0.0
True,dense_long,0.001,100,10.2483240192142,-0.553843695309086,2,59.0160000000001,102.831700280812,16.8588017201395,19.8096017201395,22.7604017201395,near0A,39.999,0.9999750000000001,base,0.0,16.8588017201395,1.0,1.02831700280812,1.180320000000002,2,1.0,1.0,0.0,0.0,0.9999750000000001,0.9999750000000001,0.0,0.0,1.0,2.0,1.02831700280812,0.0
True,dense_long,0.001,120,9.89225790458803,-0.574122594113269,2,71.408,118.430103411982,16.8349825669409,20.4053825669409,23.9757825669409,near0A,39.999,0.9999750000000001,base,0.0,16.8349825669409,1.5,1.1843010341198201,1.42816,2,1.0,2.25,0.0,0.0,1.4999625,2.24994375,0.0,0.0,1.0,3.0,1.77645155117973,0.0
True,dense_long,0.001,20,12.6631113910947,-0.583366113840356,2,22.272,122.687426191699,19.700226028769,20.813826028769,21.927426028769,near0A,39.999,0.9999750000000001,score_settle005,0.05,20.813826028769,-1.0,1.2268742619169901,0.44543999999999995,2,1.0,1.0,-0.05,0.05,-0.9999750000000001,0.9999750000000001,0.0,0.0,1.0,-2.0,-1.2268742619169901,0.022272
