case,omega_over_pi,frequency_domain,events,burn,blocks,burn_blocks,lambda_amp_si,ton_amp_s,wait_exact_amp_ns,wait_pred_amp_ns,wait_amp_abs_error_ns,wait_amp_error_pct,wait_phase_exact_deg,wait_phase_pred_deg,wait_phase_error_deg,wait_rms_error_ps,wait_rms_error_pct,wait_observable,current_exact_amp_mA,current_pred_amp_mA,current_amp_abs_error_mA,current_amp_error_pct,current_phase_error_deg,current_rms_error_mA,current_observable,dataset,input_type,lambda_pattern,ton_pattern,projection_pattern
lambda_m2_alt_w0.200,0.2,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.0517454650590513,0.05174546503050959,-2.8541711939777366e-11,-5.5157900469282595e-08,-145.14441367059587,-145.14441367299978,-2.4039395615624813e-09,0.0002538329814125895,0.0006937304431709011,1,0.0031879084029281172,0.003187908204808766,-1.9811935126040191e-10,-6.214712788832344e-06,-3.7459232116423597e-06,3.4883083460381537e-07,1,frequency_response,Lambda,m2_alt,,m2_alt
lambda_m2_alt_w0.350,0.35,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.0512283193733001,0.0512283193481048,-2.5195301072905808e-11,-4.918236928830311e-08,-73.28560838511443,-73.28560839570689,-1.0592455700052468e-08,0.0004786403197361248,0.001321338742686907,1,0.001867114185203444,0.001867114121223034,-6.398040984239726e-11,-3.4267004345167607e-06,-7.899623048995786e-07,8.854566168619866e-07,1,frequency_response,Lambda,m2_alt,,m2_alt
lambda_m2_alt_w0.500,0.5,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.05073885486653939,0.050738854830612086,-3.592729743653364e-11,-7.080825925598333e-08,-1.1876555620021199,-1.1876555671019817,-5.099861795485349e-09,0.000724871386798376,0.002020390385842144,1,0.0013667565453560598,0.0013667565494078077,4.051747798356582e-12,2.9644986465626744e-07,4.499437606669801e-06,1.3836907957070459e-06,1,frequency_response,Lambda,m2_alt,,m2_alt
lambda_m2_alt_w0.700,0.7,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.050281518071702884,0.05028151802032758,-5.1375302503919176e-11,-1.021753237573364e-07,-144.7974899372358,-144.79748995035771,-1.312192539378295e-08,0.0008615266812761681,0.0024231223781515164,1,0.0010750002014267802,0.0010750001358544644,-6.557231572841223e-11,-6.099749161325718e-06,-5.472501416693178e-06,1.8662186043372332e-06,1,frequency_response,Lambda,m2_alt,,m2_alt
lambda_m2_alt_w0.850,0.85,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.05009746438180759,0.050097464330909065,-5.0898523353661853e-11,-1.0159899588302324e-07,-72.41248212933718,-72.41248212652467,2.8125136159432844e-09,0.0009375203041724779,0.0026465489720472212,1,0.0009814898344378314,0.0009814897345939231,-9.98439082841964e-11,-1.0172688991172407e-05,8.943214310525431e-07,2.054407432945058e-06,1,frequency_response,Lambda,m2_alt,,m2_alt
lambda_one_phase_w0.005,0.005,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.057368971329311215,0.05736897844499884,7.115687616893796e-09,1.2403373195191136e-05,-137.7258435404698,-137.72587662909626,-3.3088626439347714e-05,0.0005413963176779728,0.001306777442042762,1,0.11038750691669302,0.11038761316405159,1.0624735855382147e-07,9.624944119490664e-05,-9.697881928880384e-05,6.121050684045204e-07,1,frequency_response,Lambda,one_phase,,one_phase
lambda_one_phase_w0.010,0.01,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.05297386017489059,0.05297383770971786,-2.2465172739750833e-08,-4.2408034195418054e-05,94.5838109414104,94.58380556394901,-5.3774613793679955e-06,0.00021057649761804751,0.0005658033023212037,1,0.0655512088972522,0.0655512247944804,1.589722819529682e-08,2.42516171145013e-05,-4.7700077057523727e-05,6.106323538536768e-07,1,frequency_response,Lambda,one_phase,,one_phase
lambda_one_phase_w0.020,0.02,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.0511926482572498,0.05119264735421037,-9.030394336750993e-10,-1.7640021887643798e-06,-162.14116853761698,-162.14117230740743,-3.7697904501941863e-06,0.00016068109734020944,0.00044188550776802683,1,0.03444012674124395,0.03444012974233334,3.001089394355505e-09,8.7139324866925e-06,-2.919315179091676e-05,9.400001471894213e-07,1,frequency_response,Lambda,one_phase,,one_phase
lambda_one_phase_w0.050,0.05,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.05056977861835375,0.05056977805745906,-5.608946879210938e-10,-1.1091499718673958e-06,141.86256602404595,141.86256601893558,-5.11038803998832e-09,0.00016276376730329264,0.0004551784239806268,1,0.013978456245929086,0.01397845581660935,-4.293197352120805e-10,-3.071295773260374e-06,-1.1415588518613778e-05,1.0151649194583528e-06,1,frequency_response,Lambda,one_phase,,one_phase
lambda_one_phase_w0.100,0.1,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.05029833750826154,0.05029833729447514,-2.1378640612737268e-10,-4.2503672803562154e-07,-74.0814931225958,-74.08149314109274,-1.8496935583269034e-08,0.00015851892180553277,0.0004456998357966157,1,0.006981732142501354,0.006981732159205294,1.6703940341382742e-11,2.3925208481045956e-07,-5.707598706082854e-06,9.66596984216922e-07,1,frequency_response,Lambda,one_phase,,one_phase
