case,severity,tau_ai_us,delay_events,update_us,update_events,policy,seed,reward,max_abs_v_mV,max_abs_phase_ns,max_abs_i_mA,violations,skip_events,projected_count,control_energy,tail_state_cost_mean,tail_abs_phase_ns_mean,tail_abs_i_mA_mean,settle_us,final_abs_v_mV,final_abs_phase_ns,final_abs_i_mA
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,28,-56.1556238963308,5.850702774892973,105.65678958960126,301.91510155428057,0,0,0,0.0,0.12037074482007322,5.816039268006153,5.34108640559744,45.0,0.1800227736853132,0.6061750481287076,0.7828804425483447
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,29,-61.65408233130786,6.286937326027276,105.24960200761673,304.21834420104625,0,0,0,0.0,0.13857179877759113,5.729386343154618,6.197171890577695,48.0,0.14214166608236847,1.033523188579637,9.225412066849001
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,30,-70.50971584962355,7.255699840781094,108.7164169335141,276.05389138548196,0,0,0,0.0,0.15716427307602518,5.558161102583083,5.0991349123613094,47.0,0.1330392699722244,0.1382518124528998,4.002509206986921
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,31,-64.12734007498213,6.424115520361578,106.31957442507864,331.24948940784486,0,0,0,0.0,0.1419398725479436,6.149680334527587,4.323898342200649,49.0,0.23809060474457622,0.6118413203339317,5.0461529537592416
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,32,-70.81263823100149,7.126650699874085,108.75698320228983,309.1061566618183,0,0,0,0.0,0.15926723446495733,5.785241501168786,4.802375549112938,49.0,0.16310039049245742,0.8692931057042032,0.8287314158690888
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,33,-67.38440970084008,6.959033006608412,102.18588331291238,330.6092230311956,0,0,0,0.0,0.15311510213177335,5.870344393292079,6.514123008115595,49.0,0.030955227782332537,2.3989783022686026,4.970349554736176
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,34,-71.28659445063879,7.1214777278909756,98.71131639539043,400.09081164873106,0,0,0,0.0,0.16299601883937087,6.223104202308981,5.773486259606304,47.0,0.12283365968000241,0.43407387737423764,0.6546709646357673
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,35,-65.94501127947667,6.257669192668803,108.85609681057672,350.25308001770134,0,0,0,0.0,0.1481484656953289,6.455956252759909,4.239283477649596,50.5,0.09183119686970148,0.12179993892543804,2.1537616757683984
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,36,-55.16403225905741,5.80676005290041,103.56031993565448,300.79032343135447,0,0,0,0.0,0.11924389988320801,5.895251497978402,4.867650106071401,44.5,0.18217848369049275,0.3992054735941226,0.6083512931058602
40A_to_10A,0.75,0.0,0,10.0,20,no_ai,37,-59.386005009310715,6.805440846572716,102.70812359290899,264.0070125305103,0,0,0,0.0,0.1272942081757959,5.4659490808242115,5.282847058781495,43.0,0.05113313031271711,0.37197261299872564,2.641231366536849
