seed,area_bits,detect_clock_ns,ton_resolution_ps,comp_delay_sigma_ns,events,burn,q_lambda,q_lambda_over_nominal,wait_jitter_rms_ns,wait_jitter_pkpk_ns,phase_spacing_std_ns,phase_spacing_pkpk_ns,avg_phase_current_A,current_share_rms_mA,current_share_pkpk_mA,current_snapshot_rms_mA,current_m2_projection_mA,vout_event_rms_mV,vout_event_pkpk_mV
9,10,0.5,5,2.0,720,120,1.2390513629646364e-12,0.001953125,2.21030681247281,13.089536100392865,2.210288156393109,13.090192611348494,9.99929899 9.99892267 9.99994958 9.99927176,0.37093246886002756,1.0269064599555122,2833.48464718711,0.263533678619865,0.06071917893263901,0.22942423842642334
10,10,0.5,5,2.0,720,120,1.2390513629646364e-12,0.001953125,2.2605209560121953,14.15151184765396,2.260352870696198,14.152458300238479,10.0019906 10.0011255 10.0003682 10.0013757,0.5814683246111542,1.6223858600401542,2833.486660954837,-0.03558839485151566,0.056123054384581025,0.25199380259977033
11,10,0.5,5,2.0,720,120,1.2390513629646364e-12,0.001953125,2.1506550137102214,14.770533759482662,2.1506446039648695,14.773144358166336,10.0010625 10.0010723 10.000557 10.0006014,0.24466743533314286,0.5153800263890673,2833.484302368122,-0.013551112235887786,0.05329187170802334,0.24027246672708724
12,10,0.5,5,2.0,720,120,1.2390513629646364e-12,0.001953125,2.1698750465046754,13.299820668446085,2.169754064753965,13.300483572922708,9.99913871 9.99803966 9.99911442 9.99940219,0.5227550478741603,1.3625349886865479,2833.484723044306,0.20282101276558606,0.06849309004712525,0.2503415995698255
13,10,0.5,5,2.0,720,120,1.2390513629646364e-12,0.001953125,2.2285578295728805,13.593517944838894,2.228524898389415,13.594545902016371,9.99965455 10.0001426 9.99961605 9.9999895,0.22248563337479052,0.5265386696713392,2833.4855496595824,-0.21537212347144674,0.05627869440594348,0.24461647520290786
14,10,0.5,5,2.0,720,120,1.2390513629646364e-12,0.001953125,2.1816894870458174,13.176322516086602,2.181787579620972,13.175397526678147,9.99893984 10.0002892 9.99976755 9.99956251,0.48322521831991455,1.3494120240586938,2833.4836855471226,-0.28609292439307765,0.033665270193348175,0.14327593250784698
15,10,0.5,5,2.0,720,120,1.2390513629646364e-12,0.001953125,2.1944457007672606,12.170084233472954,2.1944544061023032,12.167794606525698,10.001437 9.99967214 10.0007205 9.99974733,0.7303776050505283,1.7648985598377465,2833.4849067477408,0.684521390471371,0.03988038679545159,0.1705395825095657
0,10,0.5,10,0.0,720,120,1.2390513629646364e-12,0.001953125,0.23990745063412702,1.3055488108050306,0.23994645561133163,1.302378240667619,10.000248 9.99964596 10.0006267 9.99964395,0.4181984607936241,0.9827301388050103,2833.487398525628,0.39618375415528817,0.0045154618374516715,0.02179243549116361
1,10,0.5,10,0.0,720,120,1.2390513629646364e-12,0.001953125,0.24001831263018472,1.2582173698483503,0.23986419814070128,1.2577343593777475,10.0002768 9.99962342 9.99994311 10.0002308,0.2615301874530125,0.6534259143737842,2833.4868095389756,0.0914299238647942,0.005062170534436678,0.022534038255694888
2,10,0.5,10,0.0,720,120,1.2390513629646364e-12,0.001953125,0.24666412486062542,1.46495679390841,0.24682048975637477,1.467198034992651,9.99906969 10.0005659 10.0003857 9.99960905,0.6027228602130538,1.496179659373098,2833.4853882498765,-0.1798879997401137,0.003756661666960595,0.020595188715111235
3,10,0.5,10,0.0,720,120,1.2390513629646364e-12,0.001953125,0.2297201945997453,1.4649695041504502,0.22993590300383152,1.473271364511556,10.0004241 10.0002921 10.0000816 9.99947643,0.3630316957062795,0.9476746279215575,2833.486390927203,0.18430294168059191,0.00822254758462535,0.032918868462572526
4,10,0.5,10,0.0,720,120,1.2390513629646364e-12,0.001953125,0.23449406434995618,1.5201532945950436,0.2344211665933103,1.518742621800341,9.99994039 10.0004033 10.0000767 9.99955365,0.30461319362110645,0.8496643244590985,2833.4852343805887,0.015029205227445885,0.003713211762669792,0.016871071369606305
5,10,0.5,10,0.0,720,120,1.2390513629646364e-12,0.001953125,0.2450968228759177,1.3339144998381487,0.2452171612655266,1.3385945164314543,9.99966712 10.0002194 10.0005006 10.0000723,0.300840326928707,0.8335007982012144,2833.4834968280948,-0.030974195883270994,0.008435079406881912,0.041234457888172926
6,10,0.5,10,0.0,720,120,1.2390513629646364e-12,0.001953125,0.24095704182564956,1.451397498266802,0.24099163129496132,1.450693779703968,9.99954507 9.9996911 10.0006066 10.0002919,0.43330648216138395,1.0615424651003735,2833.483178664082,0.04217679792706264,0.0056872119869264565,0.02377183749935341
7,10,0.5,10,0.0,720,120,1.2390513629646364e-12,0.001953125,0.2528871024996712,1.4893697142082114,0.2527815338367368,1.4868724118783776,9.99928751 9.99976723 10.0001211 10.0006855,0.510297458582903,1.3980029863702725,2833.483039605637,-0.26103106577357593,0.004791897514623411,0.021596472608798045
8,10,0.5,10,0.0,720,120,1.2390513629646364e-12,0.001953125,0.24297259696236873,1.4323454623968377,0.24307020256443343,1.428137895143888,10.0001053 10.0010056 9.99995363 9.9995069,0.5445224795408338,1.4987195657560903,2833.482663747697,-0.11339337688553996,0.012463268829591454,0.042497475177372124
