variant,event_index,time_after_step_us,REQ_accept_phase,expected_phase,phase_order_error_event,phase_idx_sample,REQ_reject_reason_sample,phase_order_error_sample
R1-U2,27,6.73600000000349,1,1,0,0,0,0
R1-U2,28,7.21800000000349,2,2,0,1,0,0
R1-U2,29,7.70000000000349,3,3,0,2,0,0
R1-U2,30,8.18200000000349,4,4,0,3,0,0
R1-U2,31,8.66400000000349,1,1,0,0,0,0
R1-U2,32,9.14600000000349,2,2,0,1,0,0
R1-U2,33,9.62800000000349,3,3,0,2,0,0
R1-U2,34,10.1100000000035,4,4,0,3,0,0
R1-U2,35,10.5920000000035,1,1,0,0,0,0
R1-U2,36,11.0740000000035,2,2,0,1,0,0
R1-U2,37,11.5560000000035,3,3,0,2,0,0
R1-U2,38,12.0380000000035,4,4,0,3,0,0
R1-U2,39,12.5200000000035,1,1,0,0,0,0
R1-U2,40,13.0020000000035,2,2,0,1,0,0
R1-U2,41,13.4840000000035,3,3,0,2,0,0
R1-U2,42,13.9660000000035,4,4,0,3,0,0
R1-U2,43,14.4480000000035,1,1,0,0,0,0
R1-U2,44,14.9300000000035,2,2,0,1,0,0
R1-U2,45,15.4120000000035,3,3,0,2,0,0
R1-U2,46,15.8940000000035,4,4,0,3,0,0
R1-U2,47,16.3760000000035,1,1,0,0,0,0
R1-U2,48,16.8580000000035,2,2,0,1,0,0
R1-U2,49,17.3400000000035,3,3,0,2,0,0
R1-U2,50,17.8220000000035,4,4,0,3,0,0
R1-U2,51,18.3040000000035,1,1,0,0,0,0
R1-U2,52,18.7860000000035,2,2,0,1,0,0
R1-U2,53,19.2680000000035,3,3,0,2,0,0
R1-U2,54,19.7500000000035,4,4,0,3,0,0
R1-U2,55,20.2320000000035,1,1,0,0,0,0
R1-U2,56,20.7140000000035,2,2,0,1,0,0
R1-U2,57,21.1960000000035,3,3,0,2,0,0
R1-U2,58,21.6780000000035,4,4,0,3,0,0
R1-U2,59,22.1600000000035,1,1,0,0,0,0
R1-U2,60,22.6420000000035,2,2,0,1,0,0
R1-U2,61,23.1240000000035,3,3,0,2,0,0
R1-U2,62,23.6060000000035,4,4,0,3,0,0
R1-U2,63,24.0880000000035,1,1,0,0,0,0
R1-U2,64,24.5700000000035,2,2,0,1,0,0
R1-U2,65,25.0520000000035,3,3,0,2,0,0
R1-U2,66,25.5340000000035,4,4,0,3,0,0
R1-U2,67,26.0160000000035,1,1,0,0,0,0
R1-U2,68,26.4980000000035,2,2,0,1,0,0
R1-U2,69,26.9800000000035,3,3,0,2,0,0
R1-U2,70,27.4620000000035,4,4,0,3,0,0
R1-U2,71,27.9440000000035,1,1,0,0,0,0
R1-U2,72,28.4260000000035,2,2,0,1,0,0
R1-U2,73,28.9080000000035,3,3,0,2,0,0
R1-U2,74,29.3900000000035,4,4,0,3,0,0
R1-U2,75,29.8720000000001,1,1,0,0,0,0
R1-U2,76,30.3540000000001,2,2,0,1,0,0
R1-U2,77,30.8360000000001,3,3,0,2,0,0
R1-U2,78,31.3180000000001,4,4,0,3,0,0
R1-U2,79,31.8000000000001,1,1,0,0,0,0
R1-U2,80,32.2820000000001,2,2,0,1,0,0
R1-U2,81,32.7640000000001,3,3,0,2,0,0
R1-U2,82,33.2460000000001,4,4,0,3,0,0
R1-U2,83,33.7280000000001,1,1,0,0,0,0
R1-U2,84,34.2100000000001,2,2,0,1,0,0
R1-U2,85,34.6920000000001,3,3,0,2,0,0
R1-U2,86,35.1740000000001,4,4,0,3,0,0
R1-U2,87,35.6560000000001,1,1,0,0,0,0
